,race,gender,faction,essential
Cingaer,Bosmer,Male,Hrota Cave,No
Cingor (Oblivion),Bosmer,Male,Mythic Dawn,No
Dagail,Bosmer,Female,Leyawiin,Yes
Dairihill,Bosmer,Female,Anvil,Yes
Dennilwen,Bosmer,Female,Bandits,No
Enilroth,Bosmer,Male,Anvil,Yes
Eridor,Bosmer,Male,Vampire Hunters,No
Fithragaer,Bosmer,Male,Mages Guild,No
Nenyond Twyll,Unknown,Unknown,None,Unknown
Githriian (Oblivion),Bosmer,Female,None,No
Glarthir,Bosmer,Male,Skingrad,No
Gwinas,Bosmer,Male,None,No
Hasathil,Bosmer,Female,None,No
Hundolin,Bosmer,Male,None,Yes
Idrolian,Bosmer,Female,None,Unknown
Laralthir,Bosmer,Female,Nine Divines,No
Maglir,Bosmer,Male,Fighters Guild,Unknown
Mandil,Bosmer,Female,Thieves Guild,No
Methredhel,Bosmer,Female,Thieves Guild,Unknown
Nedhelfin,Bosmer,Male,None,No
Niraegaer,Bosmer,Male,Hrota Thieves,No
Telaendril,Bosmer,Female,Dark Brotherhood,No
Thiirchel,Bosmer,Female,Hrota Thieves,No
Thoronir,Bosmer,Male,None,Unknown
Thrangirfin,Bosmer,Male,None,No
Umbra (Oblivion),Bosmer,Female,None,No
Vindasel,Unknown,Unknown,None,Unknown
Ungolim,Bosmer,Male,Black Hand,Unknown
Bernadette Peneles,Breton,Female,None,No
Biene Amelion,Breton,Female,None,Yes
Brucetus Festinius,Breton,Male,None,No
Caroline,Breton,Female,Blades,No
Christophe Marane,Breton,Male,None,Yes
Claude Maric,Breton,Male,None,No
Claudette Perrick,Breton,Female,None,No
Davide Surilie,Breton,Male,None,No
Didier Aumilie,Breton,Male,The Count's Arms,No
The Count's Arms,Unknown,Unknown,None,Unknown
Eduard Retiene,Breton,Male,Water's Edge,No
Floyd Nathans,Breton,Male,Blankenmarch,No
Blankenmarch,Unknown,Unknown,None,Unknown
Francois Motierre,Breton,Male,None,No
Gaston Surilie,Breton,Male,None,No
Surilie Brothers Vineyards,Unknown,Unknown,None,Unknown
Goblin Jim,Breton,Male,None,No
Grantham Blakeley,Breton,Male,None,No
Niben Bay,Unknown,Unknown,None,Unknown
Guilbert Selone,Breton,Male,None,No
Hannibal Traven (Oblivion),Breton,Male,Mages Guild,Yes
Hastrel Ottus,Breton,Male,Imperial City,No
Irene Metrick,Breton,Female,None,No
Springheel Jak,Breton,Male,None,Unknown
Jauffre (Oblivion),Breton,Male,Blades,Unknown
Jeanne Frasoric,Breton,Female,Mages Guild,No
Jolie Retiene,Breton,Female,None,No
Julienne Fanis,Breton,Female,Mages Guild,Unknown
Marcel Amelion,Breton,Male,None,Unknown
Marguerite Diel,Breton,Female,Mythic Dawn,No
Marie Alouette,Breton,Female,None,Yes
Mariette Rielle,Breton,Female,Order of the Black Worm,No
Mathieu Bellamont,Breton,Male,Dark Brotherhood,Unknown
Matthias Draconis,Breton,Male,Umbacano,No
Melisande,Breton,Female,None,Yes
Corbolo River,Unknown,Unknown,None,Unknown
Astav Wirich,Breton,Male,Imperial City,No
Ogier Georick,Breton,Male,None,No
Philip Franc,Breton,Male,None,No
Prior Maborel,Breton,Male,Nine Divines,No
Raelynn the Gravefinder,Breton,Female,Necromancer,No
Renault,Breton,Female,Blades,Unknown
Rochelle Bantien,Breton,Female,None,No
Roland Jenseric,Breton,Male,None,No
Roxy Aric,Breton,Female,Black Bows,No
Telepe (Oblivion),Unknown,Unknown,None,Unknown
Rufio,Breton,Male,None,No
Salomon Geonette,Breton,Male,None,No
Samuel Bantien,Breton,Male,None,No
Ulrich Leland,Breton,Male,Cheydinhal Guard,Unknown
Vicente Valtieri,Breton,Male,Dark Brotherhood,Yes
Yvara Channitte,Breton,Female,Castle Bruma,No
Amkaos (Oblivion),Dremora,Male,Dremora,No
Kathutet (Oblivion),Dremora,Male,Dremora,No
Orthe (Oblivion),Dremora,Male,Dremora,No
Ranyu (Oblivion),Dremora,Male,Dremora,No
Adosi Serethi,Dunmer,Female,Aleswell,No
Aldos Othran,Dunmer,Male,Cheydinhal,No
Alval Uvani,Dunmer,Male,Dark Brotherhood,No
Alves Uvenim,Dunmer,Female,Leyawiin,Yes
Andel Indarys,Dunmer,Male,Castle Cheydinhal,Always
Arvena Thelas,Dunmer,Female,Anvil,Yes
Banus Alor,Dunmer,Male,Dark Brotherhood,Yes
Boderi Farano (Oblivion),Dunmer,Female,Mages Guild,No
Bolor Savel,Dunmer,Male,Order of the Black Worm,No
Cylben Dolovas,Dunmer,Male,None,No
Davela Hlaren,Dunmer,Female,None,No
Delos Fandas,Dunmer,Male,Imperial City,No
Diram Serethi,Dunmer,Male,Aleswell,Yes
Dovyn Aren,Dunmer,Male,Cheydinhal,No
Drarana Thelis,Dunmer,Female,Harlun's Watch,Yes
Drels Theran,Dunmer,Male,Bravil,No
Eronor,Dunmer,Male,Order of Talos,Yes
Falanu Hlaalu,Dunmer,Female,Skingrad,No
Farwil Indarys,Dunmer,Male,Knights of the Thorn,No
Fathis Aren,Dunmer,Male,Mages Guild,Yes
Gilen Norvalo,Dunmer,Male,Order of the Virtuous Blood,No
Harrow,Dunmer,Male,Mythic Dawn,No
Ilvel Romayn,Dunmer,Male,None,Unknown
Llevana Nedaren,Dunmer,Female,None,Unknown
Mels Maryon,Dunmer,Male,None,Unknown
Mensa Selas,Dunmer,Female,Bandits,Unknown
Mivryna Arano,Dunmer,Female,None,Unknown
Modryn Oreyn (Oblivion),Dunmer,Male,Fighters Guild,Unknown
Mondrar Henim,Dunmer,Male,None,Unknown
Myvryna Arano,Dunmer,Female,Thieves Guild,No
Noveni Othran,Dunmer,Female,Order of the Black Worm,No
Othrelos,Dunmer,Male,Thieves Guild,No
Ralsa Norvalo,Dunmer,Female,None,No
Saveri Faram,Dunmer,Female,Mythic Dawn,No
Soris Arenim,Dunmer,Male,None,No
Tanasa Arano,Dunmer,Female,Mythic Dawn,No
Pale Lady,Dunmer,Female,Vampire,No
Tolisi Girith,Dunmer,Female,Mythic Dawn,No
Tovas Selvani,Dunmer,Male,None,No
Urnsi Serethi,Dunmer,Female,Aleswell,No
Varel Morvayn,Dunmer,Male,Anvil,No
Varon Vamori,Dunmer,Male,Thieves Guild,Unknown
Adamus Phillida,Imperial,Male,Imperial Legion,Yes
Adrian Decanius,Imperial,Male,Imperial City,No
Alessia Ottus,Imperial,Female,Imperial City,No
Amantius Allectus,Imperial,Male,Imperial City,No
Amminus Gregori,Imperial,Male,Cheydinhal Guard,Yes
Andreas Draconis,Imperial,Male,None,No
Arriana Valga,Imperial,Female,Castle Chorrol,No
Astia Inventius,Imperial,Female,Anvil,No
Audens Avidius,Imperial,Male,Imperial Legion,No
Augusta Calidia,Imperial,Female,Tiber Septim Hotel,No
Countess Alessia Caro,Imperial,Female,Castle Leyawiin,Yes
Imus the Dull,Imperial,Male,Anvil,No
Penniless Olvus,Imperial,Male,Beggars,No
Cosmus the Cheat,Imperial,Male,None,No
Wretched Aia,Imperial,Female,Beggars,No
Bruccius the Orphan,Imperial,Male,None,No
Luckless Lucina,Imperial,Female,Beggars,No
Lazy Kaslowyn,Imperial,Male,Beggars,No
Nermus the Mooch,Imperial,Male,Beggars,No
Fralav the Faker,Imperial,Male,None,No
Simplicia the Slow,Imperial,Female,Beggars,No
No-Coins Draninus,Imperial,Male,Beggars,No
Ragbag Buntara,Imperial,Female,Beggars,No
Foul Fagus,Imperial,Male,Skingrad,No
Belisarius,Imperial,Male,Blades,No
Belisarius Arius,Imperial,Male,Dark Brotherhood,Yes
Berich Inian,Imperial,Male,Kvatch Guard,Yes
Britta Invel,Imperial,Female,None,Yes
Bronsila Kvinchal,Imperial,Female,Imperial Trading Company,No
Brother Piner,Imperial,Male,Nine Divines,No
Caelia Draconis,Imperial,Female,Leyawiin,No
Camilla Lollia,Imperial,Female,Order of the Black Worm,No
Carmalo Truiand,Imperial,Male,Imperial Legion,No
Casta Scribonia,Imperial,Female,Chorrol,No
Caula Allectus,Imperial,Female,Imperial City,No
Cicero Verus,Imperial,Male,Imperial City,No
Claudius Arcadia,Imperial,Male,None,No
Collatinus Vedius,Imperial,Male,None,No
Denel,Imperial,Male,Mages Guild,Yes
Dion,Imperial,Male,Skingrad Guard,No
Dumania Jirich,Imperial,Female,Anvil,No
Dynari Amnis,Imperial,Female,Courier Customers,No
Eduard Hodge,Imperial,Male,None,No
Faustina Cartia,Imperial,Female,None,No
Galtus Previa,Imperial,Male,None,No
Garrus Darelliun,Imperial,Male,Cheydinhal Guard,No
Gellius Terentius,Imperial,Male,None,No
Gemellus Axius,Imperial,Male,None,No
Giovanni Civello,Imperial,Male,Imperial Legion,No
Glenroy,Imperial,Male,Blades,Yes
The Gray Fox (Oblivion),Imperial,Male,Thieves Guild,Yes
Helvius Cecia,Imperial,Male,Thieves Guild,No
Herminia Cinna,Imperial,Female,None,No
Hieronymus Lex,Imperial,Male,Imperial Legion,Yes
Ida Ottus,Imperial,Female,None,No
Ida Vlinorman,Imperial,Female,Imperial City,No
Ilend Vonius,Imperial,Male,Kvatch,No
Irlav Jarol,Imperial,Male,Mages Guild,Yes
Itius Hayn,Imperial,Male,Imperial Legion,Yes
Janonia Aurunceia,Imperial,Female,None,No
Januarius Aurunceia,Imperial,Male,None,No
Janus Hassildor,Imperial,Male,None,Yes
Jaras Invel,Imperial,Male,None,Yes
Jesan Rilian,Imperial,Male,None,No
Jesan Sextius,Imperial,Male,None,No
Kastav Kvinchal,Imperial,Male,Imperial Trading Company,No
Langley,Imperial,Male,None,No
Laythe Wavrick,Imperial,Male,Chorrol,Yes
Lenka Valus,Imperial,Female,None,No
Lord Lovidicus,Imperial,Male,Vampire,No
Crowhaven,Unknown,Unknown,None,Unknown
Lorgren Benirus,Imperial,Male,None,No
Lucien Lachance (Oblivion),Imperial,Male,Black Hand,Yes
Marana Rian,Imperial,Female,None,No
Marinus Catiotus,Imperial,Male,None,No
Marius Caro,Imperial,Male,None,Yes
Martin Septim (Oblivion),Imperial,Male,Septim Dynasty,Yes
Menien Goneld,Imperial,Male,Kvatch Guard,Unknown
Oblivion (Realm),Unknown,Unknown,None,Unknown
Mercator Hosidus,Imperial,Male,Order of the Black Worm,Unknown
Millona Umbranox,Imperial,Female,None,Unknown
Narina Carvain,Imperial,Female,None,Unknown
Ormellius Goldwine,Imperial,Male,None,No
Perennia Draconis,Imperial,Female,None,No
Pinarus Inventius,Imperial,Male,None,Yes
Raminus Polus,Imperial,Male,Mages Guild,Yes
Regulus Terentius,Imperial,Male,None,Unknown
Reman Broder,Imperial,Male,Thieves Guild,No
Renee Geonette,Imperial,Female,None,No
Roliand Hanus,Imperial,Male,Mages Guild,No
Rona Hassildor,Imperial,Female,None,No
Rosentia Gallenus,Imperial,Female,None,Yes
Savlian Matius,Imperial,Male,Kvatch Guard,Yes
Selena Orania,Imperial,Female,Mages Guild,No
Selene (Oblivion),Imperial,Female,Blackwater Brigands,No
Sergius Verus,Imperial,Male,Imperial City,No
Servatius Quintilius,Imperial,Male,Imperial Legion,Unknown
Sibylla Draconis,Imperial,Female,None,No
Captain Steffan,Imperial,Male,Blades,Yes
Tertullian Verus,Imperial,Male,None,No
Toutius Sextius,Imperial,Male,None,No
Uriel Septim VII,Imperial,Male,Septim Dynasty,Unknown
Vandorallen Trebatius,Imperial,Male,None,No
Vantus Prelius,Imperial,Male,Fighters Guild,Yes
Velan Andus,Imperial,Male,Imperial City,No
Waterfront Lighthouse,Unknown,Unknown,None,Unknown
Velwyn Benirus,Imperial,Male,Anvil,Yes
Viera Lerus,Imperial,Female,None,No
Vilena Donton,Imperial,Female,Fighters Guild,Yes
Viranus Donton,Imperial,Male,Fighters Guild,Unknown
Vlanarus Kvinchal,Imperial,Male,None,No
Vlarimil Orius,Imperial,Male,None,Yes
Vontus Idolus,Imperial,Male,Vampire Hunters,No
Ysabel Andronicus,Imperial,Female,Arena,Yes
Abhuki,Khajiit,Female,None,No
Ahdarji,Khajiit,Female,Leyawiin,Yes
Ayisha,Khajiit,Female,Bandits,No
Rancid Ra'dirsha,Khajiit,Female,Beggars,No
Dro'shanji,Khajiit,Male,Bravil,No
Ja'Fazir,Khajiit,Male,Blackwood Company,Yes
J'baana,Khajiit,Male,Thieves Guild,No
J'bari,Khajiit,Male,None,No
J'Ghasta,Khajiit,Male,Dark Brotherhood,No
J'riska,Khajiit,Male,None,No
Border Watch,Unknown,Unknown,None,Unknown
J'skar,Khajiit,Male,Mages Guild,Yes
M'dasha,Khajiit,Male,Border Watch,No
M'dirr,Khajiit,Male,Character Classes,No
M'raaj-Dar,Khajiit,Male,Dark Brotherhood,No
Ra'qanar,Khajiit,Male,Thieves Guild,No
Ri'Bassa,Khajiit,Male,None,Yes
Ri'Zakar,Khajiit,Male,Blackwood Company,No
S'drassa,Khajiit,Male,Mages Guild,No
S'Krivva,Khajiit,Female,Thieves Guild,Yes
S'razirr,Khajiit,Male,None,No
Malada,Unknown,Unknown,None,Unknown
S'shani,Khajiit,Male,None,No
S'thasa,Khajiit,Female,None,No
Tsalajma,Khajiit,Female,None,No
Tsavi,Khajiit,Female,Castle Leyawiin,No
Tsramla,Khajiit,Female,None,No
Tsrava,Khajiit,Female,None,No
Zabhila,Khajiit,Female,Border Watch,No
Zahrasha,Khajiit,Female,None,No
Agarmir,Nord,Male,Imperial City,No
Agata,Nord,Female,Leyawiin,Yes
Agnar the Unwavering,Nord,Male,Thirsk Mead Hall,No
Dive Rock,Unknown,Unknown,None,Unknown
Agnete the Pickled,Nord,Female,Skingrad,No
Fetid Jofnhild,Nord,Male,None,No
Jorck the Outcast,Nord,Male,Beggars,No
Bittneld the Curse-Bringer,Nord,Male,None,Yes
Bjalfi the Contemptible,Nord,Male,Marauder,No
Burd,Nord,Male,Bruma,Yes
Carsten,Nord,Male,Vampire Hunters,No
Lorkmir,Nord,Male,None,No
Eitar,Nord,Male,None,No
Else God-Hater,Nord,Female,Mythic Dawn,No
Fjotreid,Nord,Male,None,No
Hafid Hollowleg,Nord,Male,None,No
Heinrich Oaken-Hull,Nord,Male,Anvil,No
Brother Hjar,Nord,Male,None,No
Hlofgar,Nord,Male,None,No
Brother Holger,Nord,Male,None,No
Brother Hridi,Nord,Male,None,No
Irroke the Wide,Nord,Male,None,Unknown
Iver,Nord,Male,Mages Guild,Unknown
Silorn,Unknown,Unknown,None,Unknown
Jensine,Nord,Female,None,Unknown
Jollring,Nord,Male,None,Unknown
Kalthar,Nord,Male,Mages Guild,Unknown
Keld of the Isles,Nord,Male,Fighters Guild,No
Larthjar the Laggard,Nord,Male,None,Unknown
Lynch,Nord,Male,Blackwater Brigands,No
Maeva the Buxom,Nord,Female,None,No
Malene,Nord,Female,None,Unknown
Maren the Seal,Nord,Female,None,Unknown
Margarte,Nord,Female,None,Unknown
Merete,Nord,Female,Mages Guild,Unknown
Mogens Wind-Shifter,Nord,Male,Bandits,Unknown
Rolgarel,Nord,Male,None,No
Newheim the Portly,Nord,Male,None,Unknown
Olfand,Nord,Male,None,No
Orgnolf Hairy-Legs,Nord,Male,None,Unknown
Rigmor,Nord,Female,Claude Maric,No
Roliand,Nord,Male,Blades,No
Signy Home-Wrecker,Nord,Female,None,No
Skjorta,Nord,Female,None,No
Styrbjorn,Nord,Male,Mythic Dawn,No
Vidkun,Nord,Male,Mages Guild,No
Wilhelm the Worm,Nord,Male,None,No
Agronak gro-Malog,Orsimer,Male,Arena,Yes
Bazur gro-Gharz,Orsimer,Male,None,No
Black Brugo,Orsimer,Male,Black Bow Bandit,No
Borba gra-Uzgash,Orsimer,Female,None,No
Brag gro-Bharg,Orsimer,Male,Fighters Guild,No
Brokil gro-Shatur,Orsimer,Male,Bravil,No
Burz gro-Khash,Orsimer,Male,Fighters Guild,Yes
Dubok gro-Shagk,Orsimer,Male,Fighters Guild,Yes
Dulfish gro-Orum,Orsimer,Male,Cheydinhal,No
Gogron gro-Bolmog,Orsimer,Male,Dark Brotherhood,No
Gorgo gro-Shura,Orsimer,Male,Anvil,No
Graman gro-Marad,Orsimer,Male,Imperial City,No
Hanz gro-Hubrag,Orsimer,Male,None,No
Lady Rogbut gra-Shurgak,Orsimer,Female,None,Unknown
Lord Rugdumph gro-Shurgak,Orsimer,Male,None,Unknown
Luronk gro-Glurzog,Orsimer,Male,None,No
Magub gro-Orum,Orsimer,Male,Cheydinhal,Unknown
Maknok gro-Coblug,Orsimer,Male,None,No
Mazoga the Orc (Character),Orsimer,Female,None,No
Oghash gra-Magul,Orsimer,Female,None,No
Orok gro-Ghoth,Orsimer,Male,Chorrol,Unknown
Rogmesh gra-Coblug,Orsimer,Female,None,No
Shagol gro-Bumph,Orsimer,Male,None,No
Shum gro-Yarug,Orsimer,Male,None,No
Ulmug gro-Cromgog,Orsimer,Male,Bandits,No
Umog gra-Marad,Orsimer,Female,None,No
Uzul gro-Grulam,Orsimer,Male,Imperial Trading Company,No
Alonzo,Redguard,Male,Black Bows,No
Branwen,Redguard,Female,None,No
Armand Christophe,Redguard,Male,Thieves Guild,Yes
Ashanta,Redguard,Female,None,No
Azani Blackheart (Character),Redguard,Male,Bandits,No
Atatar,Unknown,Unknown,None,Unknown
Azzan,Redguard,Male,Fighters Guild,Yes
Baurus,Redguard,Male,Blades,Yes
Chanel,Redguard,Female,Castle Chorrol,Yes
Cyrus (Oblivion),Redguard,Male,Blades,No
Delmar,Redguard,Male,Arcane University,Yes
Eletta,Redguard,Female,Mages Guild,No
Gogan,Redguard,Male,None,No
Jalbert,Redguard,Male,None,No
Vilverin,Unknown,Unknown,None,Unknown
Jearl,Redguard,Female,Mythic Dawn,No
Kewan,Redguard,Male,None,Unknown
Maelona,Redguard,Female,None,No
Neesha (Oblivion),Redguard,Female,None,No
Oleta,Redguard,Female,None,No
Orrin,Redguard,Male,Thieves Guild,No
Owyn,Redguard,Male,Arena,Unknown
Phintias,Redguard,Male,None,Unknown
Pranal,Redguard,Male,None,Unknown
Rellian,Redguard,Male,Fighters Guild,Unknown
Rienna,Redguard,Female,Fighters Guild,No
Roderick,Redguard,Male,None,No
Ruslan,Redguard,Male,None,No
Shamar,Redguard,Male,Vampire Hunters,No
Tamika,Redguard,Female,None,No
Tierra,Redguard,Female,Kvatch,No
Trevaia,Redguard,Female,Nine Divines,No
Wilbur,Redguard,Male,None,Unknown
Ascended Immortal,Breton,Female,None,No
Courier (Oblivion),Breton,Female,None,No
Inn of Ill Omen,Unknown,Unknown,None,Unknown
Dark Brotherhood Murderer,Imperial,Female,None,No
Imperial Legion Battlemage (Oblivion),Imperial,Male,Imperial Legion,No
Mage Apprentice,Breton,Female,Mages Guild,No
Mage Scholar,Altmer,Female,Mages Guild,No
Blind Moth Priest,Imperial,Female,Moth Priests,No
Conjurer (Oblivion),Altmer,Female,None,No
Highwayman (Oblivion),Unknown,Unknown,None,Unknown
Mythic Dawn Agent,Dunmer,Female,Mythic Dawn,Unknown
Antoinetta Marie,Breton,Female,Dark Brotherhood,No
